air_date,round,category,value,question,answer
1/12/07,Final Jeopardy!,LITERARY TITLES,,"This 1954 book title refers to an impaled sow's head, an offering to the ""beast""",Lord of the Flies
7/24/07,Final Jeopardy!,ANIMALS,,"The genus of this Asian animal is Ailuropoda, & its species name, appropriately, is melanoleuca",the giant panda
12/27/02,Final Jeopardy!,IN THE DICTIONARY,,"This 5-letter word can refer to one type of work by a composer, or to several works of different types",opera
4/8/11,Final Jeopardy!,THE METROPOLITAN MUSEUM OF ART,,64 paintings from the Met's founding purchase are still in its collection; over 1/3 of them are from this current European nation,the Netherlands
9/16/10,Final Jeopardy!,WORD AND PHRASE ORIGINS,,"Meaning ""rapidly"", this term began in England, referring to the speed with which the mail was delivered",post haste
3/16/01,Final Jeopardy!,SPORTS NAME ORIGINS,,This racket sport takes its name from the country home of the 19th century Duke of Beaufort,Badminton
4/22/86,Final Jeopardy!,GAMBLING,,"Next to slots, Nevada casinos make more money from this game than any other, nearly $3/4 billion in 1985",blackjack
3/6/92,Final Jeopardy!,20th CENTURY VICE PRESIDENTS,,The only VP to become president not immediately after his vice presidential term,Richard Nixon
10/3/00,Final Jeopardy!,FAMOUS TEENAGERS,,"This young man who turned 18 on June 21, 2000 has a dog named Widgeon & a younger brother named Harry",Prince William
10/12/06,Final Jeopardy!,WORLD CAPITALS,,"Started in 1988 for this city's 75th anniversary, a Springtime Flower Festival in September shows off its Commonwealth Park","Canberra, Australia"
2/24/04,Final Jeopardy!,FAMOUS NAMES,,"A grandson of Man O' War, he defeated his uncle in a famous matchup November 1, 1938",Seabiscuit
12/8/09,Final Jeopardy!,LITERATURE OF THE 1800s,,"This character said, ""I will live in the past, the present, and the future.  The spirits of all three shall strive within me""",Ebenezer Scrooge
2/3/09,Final Jeopardy!,CIVIL WAR PEOPLE,,He was the only person who died during the Civil War to be featured on Confederate currency,Stonewall Jackson
10/19/06,Final Jeopardy!,FAMOUS NAMES,,"Once a top spy, he invented the mug shot seen on reward posters in the Wild West",Allan Pinkerton
5/16/06,Final Jeopardy!,SCIENTISTS,,"""American Prometheus"" is a biography of this physicist who died in 1967",J. Robert Oppenheimer
11/15/07,Final Jeopardy!,SCIENTISTS,,In 2007 this 1962 American Nobel laureate became the first person to receive his own personal genome map,James Watson
12/4/07,Final Jeopardy!,U.S. POLITICS,,"Since 1960, only Massachusetts & this state have produced more than one of the 10 Democratic presidential nominees",Minnesota (Hubert Humphrey & Walter Mondale)
4/11/05,Final Jeopardy!,ARLINGTON'S TOMB OF UNKNOWNS,,Sentinels at the tomb walk exactly this many steps at a time before they stop & turn,21
6/28/04,Final Jeopardy!,BOOK TITLES,,"""I am the rose of Sharon"" & ""When you know your name, you should hang on to it"" are from 2 different books titled this",Song of Solomon
7/6/04,Final Jeopardy!,HISTORIC ENGLISHMEN,,"Ironically, he might have saved himself from death in 1779 if he had known how to swim",Captain Cook
12/11/07,Final Jeopardy!,SHAKESPEAREAN TRAGEDY CHARACTERS,,"To the consternation of the title character, we learn that this character was born by C-section",Macduff
10/22/03,Final Jeopardy!,20th CENTURY NOTABLES,,"Einstein said of him, ""Generations to come will scarcely believe"" one such as he ""walked the Earth in flesh & blood""",Mohandas Gandhi
5/5/11,Final Jeopardy!,WORLD LEADERS,,"Shortly after he received the 1990 Nobel Peace Prize, his country ceased to exist",Mikhail Gorbachev
11/3/11,Final Jeopardy!,COUNTRIES' HIGHEST PEAKS,,"These 2 nations, one an island, have highest peaks with the same name; they also share a common European culture",Greece & Cyprus
11/23/09,Final Jeopardy!,ODD TITLES,,"Gilbert & Sullivan's ""Mikado"", not Milne, gave us this hyphenated title for a pompous functionary",grand poo-bah
10/11/10,Final Jeopardy!,PRISONS,,Nazi Rudolf Hess in 1941 & the notorious Kray twins in 1952 were among the last people briefly held here,the Tower of London
11/27/96,Final Jeopardy!,RIVERS,,"It was once believed that this river ""originated in the Mountains of the Moon""",the Nile
11/24/09,Final Jeopardy!,COMPOSERS,,"In 1928, the 100th anniversary of his death, a $10,000 prize was offered for the completion of his 8th Symphony",(Franz) Schubert
12/18/02,Final Jeopardy!,20th CENTURY U.S. PRESIDENTS,,This president shares his middle name with the name of a 1st C. Jewish theologian mentioned in the New Testament,Warren Gamaliel Harding
3/19/03,Final Jeopardy!,ALL GOD'S CREATURES,,"Edison proposed a flying machine based on the flight of this creature, also the subject of a musical work",bumblebee
5/26/99,Final Jeopardy!,1950s ACHIEVEMENTS,,"On Nov. 20, 1953, in a Douglas D-558-2, Scott Crossfield reached this benchmark",Traveling twice the speed of sound
7/12/99,Final Jeopardy!,IN THE BOOKSTORE,,"Bestselling author seen here (she's holding a large ""A"" & a large ""Z"")",Sue Grafton
3/5/90,Final Jeopardy!,SHAKESPEAREAN TITLE CHARACTERS,,"He is introduced as ""The triple pillar of the world transformed into a strumpet's fool""",Marc Antony
1/28/05,Final Jeopardy!,THE WORLD OF ART,,"It's the room where you'll find the masterpiece that includes ""The Flood"" & ""The Creation of Eve""",the Sistine Chapel
1/11/12,Final Jeopardy!,FOOD ETYMOLOGY,,"Keith Downey developed rapeseed into this cooking product, now a huge cash crop for farmers in Saskatchewan",canola
7/22/08,Final Jeopardy!,WORLD LEADERS,,"Born in Kiev & later a U.S. citizen, this leader became prime minister in 1969 of a country founded in the 20th century",Golda Meir
12/12/97,Final Jeopardy!,BRAND NAMES,,"Formulated in 1953, its first purpose was ""water displacement"" to prevent corrosion on missiles",WD-40
3/13/08,Final Jeopardy!,AUTHORS,,"Sherwood Anderson told him, write about what ""you know... that little patch... in Mississippi where you started from""",William Faulkner
5/4/09,Final Jeopardy!,THE 50 STATES,,An 1881 resolution established that this state's name was to be spelled one way but pronounced another,Arkansas
3/3/99,Final Jeopardy!,THE PRESIDENCY,,"In 1998, the highest-ranking person in the line of presidential succession who could not legally be president",Madeleine Albright (Secretary of State)
2/15/99,Final Jeopardy!,WORLD CITIES,,In May 1998 this metropolis of 7 million voted to start electing its mayor for the first time,London
9/24/97,Final Jeopardy!,19TH CENTURY FICTION,,"The 1853 novel ""Clotel, or The President's Daughter"" alleges that this man had an affair with a slave",Thomas Jefferson
11/13/85,Final Jeopardy!,BIOLOGY,,"Of the 4, blood group of the universal recipient",AB
10/22/99,Final Jeopardy!,SISTER CITIES,,"San Francisco, California is a sister city to this one in Italy",Assisi (named after St. Francis of Assisi)
10/4/05,Final Jeopardy!,20th CENTURY NOVELS,,"Ironically, this 1953 science fiction book began appearing in a censored version in 1967",Fahrenheit 451
11/13/91,Final Jeopardy!,AFRICAN AMERICANS,,In 1978 she became the first black woman honored on a U.S. postage stamp,Harriet Tubman
10/29/98,Final Jeopardy!,TV CHARACTERS,,Dozens of web sites are devoted to picking on this Sheryl Leach creation who only gives love,Barney
4/21/10,Final Jeopardy!,SAINTHOOD,,In 2009 this man who died on Molokai in 1889 became Hawaii's first saint,Father Damien
5/6/10,Final Jeopardy!,AMERICAN LITERATURE,,"A contemporary review of this 1851 novel said, ""Who would have looked for... poetry in blubber?""",Moby-Dick
6/29/93,Final Jeopardy!,U.S. RIVERS,,"The name of this river, famous in song, may be a corruption of the Spanish for ""little Saint John""",the Swanee
11/17/94,Final Jeopardy!,NAMES IN THE NEWS,,This former U.N. ambassador is a co-chairman of the host city's committee for the 1996 Olympic Games,Andrew Young
2/21/07,Final Jeopardy!,EXPLORERS,,"In 1616, after Hudson died, this man became the 1st European to reach Ellesmere Island; an island & bay are named for him",(William) Baffin
1/11/00,Final Jeopardy!,TELEVISION HISTORY,,In the late '60s this character was created to show children it's okay to be grumpy,"Oscar the Grouch (from \""Sesame Street\"")"
9/10/01,Final Jeopardy!,FAMOUS PEOPLE,,"In 2001, she produced & hosted the Travel Channel's ""Secrets of San Simeon""",Patty Hearst
2/13/03,Final Jeopardy!,FIRST NAMES,,"Once considered too sacred to use, it was later the top girl's name from 1880 to the 1940s",Mary
1/11/10,Final Jeopardy!,THE PARTS OF SPEECH,,"Of the traditional 8 parts of speech, it's the only one that doesn't end in the same 4 letters as 1 of the other parts of speech",adjective
10/8/99,Final Jeopardy!,THE FUNNIES,,"Debuting November 18, 1985, the caption in its first box was ""So long, Pop!  I'm off to check my tiger trap!""",Calvin and Hobbes
3/22/04,Final Jeopardy!,FAMOUS FELINES,,"He made his debut in the 1945 short film ""Life with Feathers""",Sylvester
11/19/93,Final Jeopardy!,WORD ORIGINS,,"The name of this dialect comes from a Hindi word, mantri, meaning ""counselor""",Mandarin
6/4/10,Final Jeopardy!,AMERICAN POLITICIANS,,"Frank Sinatra came out of retirement to sing their praises: ""they're both unique... the Quaker & the Greek""",Richard Nixon & Spiro Agnew
7/18/01,Final Jeopardy!,INTERNATIONAL LANDMARKS,,"Its roof has been variously described as sails, clam shells & a huddle of nuns in a high wind",the Sydney Opera House
1/6/99,Final Jeopardy!,PEOPLE,,"He made the cover of Life magazine 3 times in February & March of 1962, & again in October 1998",John Glenn
3/29/06,Final Jeopardy!,20th CENTURY THEATER,,"This play ends with 1 character asking, ""Well?  Shall we go?""; the other replies, ""Yes, let's go"", but they do not move",Waiting for Godot
10/9/07,Final Jeopardy!,U.S. PRESIDENTS,,He's the only U.S. president who never lived in the District of Columbia,George Washington
12/14/99,Final Jeopardy!,AMERICAN AUTHORS,,"His bestselling first novel, published in 1846, was set in Polynesia","Herman Melville (\""Typee\"")"
1/11/88,Final Jeopardy!,SOUTH AMERICA,,These are the only 2 independent countries in South America named for a famous person,Colombia & Bolivia
10/3/97,Final Jeopardy!,BATTLES,,"Napoleon's plans to invade England were dashed by this October 21, 1805 battle",Battle of Trafalgar
5/11/01,Final Jeopardy!,SOUTH AMERICA,,One of 2 landlocked countries in South America,(1 of 2) Bolivia or Paraguay
3/24/99,Final Jeopardy!,WORD ORIGINS,,"Today meaning a self-employed person, this term derives from medieval knights who sold their skills",Freelancer
4/21/06,Final Jeopardy!,FAMOUS OBJECTS,,"Shah Jahan, Ranjit Singh & Queen Victoria all possessed a famous one whose name means ""mountain of light""",a diamond
1/10/12,Final Jeopardy!,RULERS IN HISTORY,,"Born in 1672 & named for a saint, in 1703 he founded a city whose name represents both of them",Peter the Great
5/28/10,Final Jeopardy!,AWARDS & HONORS,,A trophy named for this author is awarded to anyone who breaks the record for sailing a yacht around the world,Jules Verne
4/28/03,Final Jeopardy!,TRANSPORTATION,,"On December 11, 1967 it was removed from the British registry & turned over to the city of Long Beach, California",the Queen Mary
12/26/07,Final Jeopardy!,STRUCTURES,,"When completed, it stretched for 73 1/2 miles from Bowness to Wallsend",Hadrian's Wall
11/2/88,Final Jeopardy!,THE SPACE RACE,,"Sputnik was the Soviet's 1st satellite, while this was ours",Explorer
12/14/04,Final Jeopardy!,AWARD-WINNING AUTHORS,,"The only Oscar winner also to win a Nobel Prize, this European won a 1938 Oscar for adapting his own play",George Bernard Shaw
11/10/87,Final Jeopardy!,THE BIBLE,,"The first verse of this book says, ""There was a man in the land of Uz that feared God and eschewed evil""",Job
6/2/08,Final Jeopardy!,THE BILLBOARD HOT 100,,"A song by this artist hit No. 1 in 1999, making her at age 52 the oldest female to have a Billboard No. 1 single",Cher
2/19/07,Final Jeopardy!,ORGANIZATIONS,,"The C.A.P., or Common Agricultural Policy, accounts for almost half the budget of this 25-nation organization",the European Union
6/15/98,Final Jeopardy!,MACBETH,,"Macbeth says to this character, ""Thy bones are marrowless, thy blood is cold""",Banquo's ghost
7/7/95,Final Jeopardy!,NOTORIOUS,,"Oscar Collazo, serving a life sentence for his assassination attempt on this president, was released in 1979",Harry Truman
11/6/02,Final Jeopardy!,AUTHORS,,"In September 1941 this author christened the warship Atlanta, also known as ""The Mighty A""",Margaret Mitchell
10/30/98,Final Jeopardy!,HALLOWEEN ON FILM,,"(<a href=""http://www.j-archive.com/media/1998-10-30_FJ.jpg"" target=""_blank"">Happy Halloween, I'm Janet Leigh.</a>)  In a 1953 film my then husband played this man, who died on Halloween in 1926; I played his wife Bess",Harry Houdini
11/2/06,Final Jeopardy!,FICTIONAL CHARACTERS,,"He first appeared in Kipling's 1892 story ""In the Rukh"" as an adult who now & then refers to his very odd childhood",Mowgli
11/11/04,Final Jeopardy!,BRITISH NOVEL CHARACTERS,,"W.E. Henley, the amputee who wrote the brave poem ""Invictus"", inspired this character in an 1883 book",Long John Silver
1/25/11,Final Jeopardy!,THE OLD TESTAMENT,,"In the Book of Job, this name means ""accuser"", & that was his role in God's court",Satan
6/29/05,Final Jeopardy!,MUSICAL THEATER,,"In Act II of this musical, an election victory is announced ""on the balcony of the Casa Rosada""",Evita
5/20/08,Final Jeopardy!,CHILDREN'S AUTHORS,,"In 1896 he said his mother had lost her childhood at 8; he ""knew a time would come when I also must give up the games""",J.M. Barrie
1/15/07,Final Jeopardy!,AMERICAN LITERATURE,,"An epigraph he used on one story says, ""our hearts though stout and brave, still, like muffled drums are beating""",Edgar Allan Poe
9/16/02,Final Jeopardy!,ON THE CALENDAR,,"In 1974, to save energy, it began in January instead of April & ended on October 27",Daylight saving time
11/22/99,Final Jeopardy!,FAMOUS WEDDINGS,,"In 1998 a 61-year-old piece of this couple's wedding cake sold for $26,000 at Sotheby's",The Duke of Windsor (former King Edward VIII) & Wallis Simpson
3/1/90,Final Jeopardy!,WORLD HISTORY,,City that was the seat of government of the viceroyalty of New Spain,Mexico City
1/25/00,Final Jeopardy!,THE TONY AWARDS,,"(Hi, I'm Brian Dennehy)  This man won a Tony for writing the Best Play of 1949 and I had the honor of presenting him with a Lifetime Achievement Tony in 1999","Arthur Miller (wrote \""Death of a Salesman\"")"
1/7/03,Final Jeopardy!,ANIMALS,,"What the Germans call a Bambusbar, we generally call this",a panda bear
4/4/96,Final Jeopardy!,FAMOUS TEACHERS,,"In 1967 this former teacher published a memoir entitled ""Center of the Storm""",John Scopes (famous Scopes Trial)
3/3/05,Final Jeopardy!,20th CENTURY AMERICANS,,He was alive for the Wright Brothers' historic flight & was John Glenn's Senate colleague when Glenn returned to space,Strom Thurmond
7/11/01,Final Jeopardy!,CONTEMPORARY BRITISH AUTHORS,,"In May 1973 Sports Illustrated ran one of his short stories under the title ""A Day of Wine and Roses""",Dick Francis
3/26/90,Final Jeopardy!,COUNTRIES OF THE WORLD,,The world's most populous democracy,India
2/27/06,Final Jeopardy!,AMERICAN WOMEN,,"She gave herself the third-person name ""Phantom"", the ""no-person"" she was from 19 months until she was almost 7",Helen Keller
5/31/05,Final Jeopardy!,BEATLES MUSIC,,Chauffeur Alf Bicknell was the inspiration for this 1965 song,"\""Drive My Car\"""
4/22/11,Final Jeopardy!,BIOGRAPHERS,,"As many mourned, this minister wrote in a letter, ""Washington is gone!  Millions are gasping to read ...about him""",Parson Weems
4/16/08,Final Jeopardy!,CONSUMER PRODUCTS,,This product was reintroduced in 1906 with trimethylxanthine as the sole remaining stimulant,Coca-Cola
12/4/84,Final Jeopardy!,U.S. PRESIDENTS,,"President elected to 2nd term with 523 electoral votes, the greatest number in any election",Franklin D. Roosevelt
10/24/11,Final Jeopardy!,U.S. CITIES,,"Of the top 10 cities in population within city limits, this one of 1.4 million is the only state capital","Phoenix, Arizona"
9/12/00,Final Jeopardy!,NOTORIOUS,,"Using the aliases James Ryan & Harry Place, they boarded a steamer for Argentina in February 1901",Butch Cassidy & The Sundance Kid
2/10/98,Final Jeopardy!,ENGLISH LITERATURE,,"The 5th edition of this work, published in 1676, included a section on fly fishing by Charles Cotton",The Compleat Angler (by Izaak Walton)
2/12/08,Final Jeopardy!,CHARACTERS IN BOOKS,,"This character says, ""It's Christmas Day!  I haven't missed it.  The Spirits have done it all in one night""",Ebenezer Scrooge
1/18/12,Final Jeopardy!,FATHERS & SONS,,The island where this man's son washed ashore was later named Ikaria,Daedalus
2/5/09,Final Jeopardy!,AMERICAN FICTION WRITERS,,"He was also the U.S.'s best-paid sportswriter, with stories of people like Chicago O'Brien & Jack the Bookie",Damon Runyon
5/12/99,Final Jeopardy!,RENAISSANCE LITERATURE,,"This book begins, ""All states and dominions which hold or have held mankind are either republics or monarchies""","\""The Prince\"" (by Machiavelli)"
6/3/99,Final Jeopardy!,WORLD EVENTS,,"The 3 people who did this most recently were Midori Ito, Muhammad Ali & Crown Prince Haakon of Norway",Lighting the Olympic flame at the Olympic Games
10/4/02,Final Jeopardy!,U.S. PRESIDENTS,,"A Civil War general, he was the last man to go directly from the House of Representatives to the presidency",James A. Garfield
9/4/01,Final Jeopardy!,NATIONAL ANTHEMS,,"""Land Of Two Rivers"" is the anthem of this country whose history goes back thousands of years",Iraq
1/24/07,Final Jeopardy!,FOREIGN CURRENCY,,This currency of Costa Rica gets its name from the first European to see the nation,the Colon
3/23/01,Final Jeopardy!,TRANSPORTATION INNOVATIONS,,This type of program that began in 1981 was inspired by Green Stamps,Frequent flyer program
7/13/11,Final Jeopardy!,NAME THE POET,,"""The spirit who bideth by himself / in the land of mist and snow / he loved the bird that loved the man / who shot him with his bow""",(Samuel Taylor) Coleridge
3/12/97,Final Jeopardy!,THE NOBEL PRIZE,,The 1996 Chemistry Prize went to the discoverers of a 60-carbon atom molecule called this,Buckyball
2/18/98,Final Jeopardy!,AUTHORS,,"He claimed that as a Pinkerton detective, he had worked the Fatty Arbuckle & Nicky Arnstein cases",Dashiell Hammett
4/25/06,Final Jeopardy!,MOVIE DIRECTORS,,He's the only person to direct his daughter & his father in Oscar-winning performances,John Huston
5/25/09,Final Jeopardy!,THE ELEMENTS,,"Once called radium F, this element was named for the homeland of one of its discoverers",polonium
9/26/08,Final Jeopardy!,ROYALTY,,"Since 1066, the only British monarch to have 3 children ascend to the British throne",Henry VIII
3/23/05,Final Jeopardy!,MAJOR LEAGUE BASEBALL,,The team names of these 2 expansion clubs start with the same 3 letters; one might catch the other,the Seattle Mariners & the Florida Marlins
2/16/11,Final Jeopardy!,19th CENTURY NOVELISTS,,"William Wilkinson's ""An Account of the Principalities of Wallachia and Moldavia"" inspired this author's most famous novel",Bram Stoker
5/21/04,Final Jeopardy!,EXPLORATION,,"He wrote in his diary, ""The loss of pony transport in March 1911 obliged me to start later than I had intended""",Robert Falcon Scott
3/20/98,Final Jeopardy!,FINANCE HISTORY,,"In the 19th c., selling stock you didn't yet own, hoping it would fall, was called selling this animal's skin",a bear
1/19/00,Final Jeopardy!,THE BOOK TRADE,,"According to USA Today, they're the 2 nonconsecutive months that see the highest cookbook sales",May & December
10/29/02,Final Jeopardy!,NOTABLE NAMES,,"His last direct descendant was a granddaughter, Elizabeth Hall, born to John & Susanna Hall in 1608",William Shakespeare
5/26/11,Final Jeopardy!,19th CENTURY MUSIC,,"Lyrics to an 1868 tune by this man began, ""Guten Abend, Gut Nacht, Mit Rosen Bedacht""",Johannes Brahms
1/1/10,Final Jeopardy!,ROSE BOWL HISTORY,,"The only time the game wasn't held in Calif. was 1942, when it was in N.C., amidst fears of another event like this one",Pearl Harbor
3/10/08,Final Jeopardy!,ACTORS,,"He never won an Oscar, but this 1960s movie star got a patent for a low-slung bucket seat for race cars",Steve McQueen
7/3/98,Final Jeopardy!,WORLD LEADERS,,"On Dec. 25, 1991, he ended his farewell speech by saying, ""I wish everyone all the best""",Mikhail Gorbachev
10/9/97,Final Jeopardy!,FAMOUS WOMEN,,"In 1997, in honor of her 90th birthday, she was made honorary First Lady of Old Saybrook, Connecticut",Katharine Hepburn
2/4/09,Final Jeopardy!,20th CENTURY FIRSTS,,"On Oct. 14, 1947 in the Mojave Desert the first of these sounds was made by man; it was the byproduct of another first",sonic boom
7/2/02,Final Jeopardy!,1980s BUSINESS,,"In his job since 1984, this man has been called ""the Prince who awakened Sleeping Beauty""",Michael Eisner
11/25/10,Final Jeopardy!,U.S. PRESIDENTS,,He is the only president of the United States to be awarded the Purple Heart,John F. Kennedy
7/23/07,Final Jeopardy!,ITALIAN INVENTORS,,In 1910 his new invention helped Scotland Yard catch a murderer escaping to North America across the Atlantic,Marconi
2/10/06,Final Jeopardy!,AMERICANA,,"Originally beardless, Uncle Sam got  his chin whiskers from images depicting this real-life man",Abraham Lincoln
3/29/99,Final Jeopardy!,1999 ANNIVERSARIES,,A traveling exhibit honoring the 200th anniversary of his death features his false teeth,George Washington
2/3/04,Final Jeopardy!,ARBOREAL MAMMALS,,"Of the genus Phascolarctos, it's 23-33"" tall with a stout gray or brown body, a big round nose & strong claws",a koala
4/8/08,Final Jeopardy!,OLYMPIC CITIES,,"Of all the cities to host the modern Olympic Games, this one lies closest to the equator",Mexico City
5/2/05,Final Jeopardy!,WORLD CITIES,,"Capital of the ancient Roman province of Galatia, it became a modern national capital in 1923",Ankara
3/22/00,Final Jeopardy!,HISTORIC PEOPLE,,"After his 1955 death, his papers were given to Jerusalem's Hebrew Univ. & his violin was left to his grandson",Albert Einstein
7/15/03,Final Jeopardy!,THE CABINET,,"This department contains the Federal Emergency Management Agency, the Secret Service & the Coast Guard",Department of Homeland Security
10/15/07,Final Jeopardy!,ARTISTS,,"In 1881 he wrote to Emile Zola, ""I must soon leave Vetheuil, and I am looking for a pretty place by the Seine""",Claude Monet
4/18/03,Final Jeopardy!,ORGANIZATIONS,,"""Climb the mountains and get their good tidings"" was a goal of this group at its 19th century founding",Sierra Club
11/4/10,Final Jeopardy!,BURIED AT ARLINGTON,,"His grave notes his 1842 West Point graduation, his time at Ft. Sumter, Gettysburg & 2nd Bull Run, but does not mention sports",Abner Doubleday
11/16/05,Final Jeopardy!,WORD ORIGINS,,"This word meaning ""complete range"" comes from the 3rd Greek letter, which used to be the low end of the musical scale",gamut
1/26/05,Final Jeopardy!,LANDMARKS,,"Located SE of Charlottesville, Virginia, it has 3 stories, an octagonal dome & 33 rooms of varying shapes",Monticello
